temp_lift,COP,type
22.083999999999996,9.13757558471192,conventional
12.363000000000001,9.219489881956159,conventional
13.857,8.729366190141102,conventional
17.268,7.426730673562849,conventional
19.218000000000004,6.324558990797231,conventional
21.101,6.067244974853517,conventional
22.131,6.972644556458089,conventional
17.325,8.220958167171796,conventional
14.610000000000001,8.949838392355257,conventional
21.311,6.890223967026612,conventional
26.455,13.637452456286427,conventional
13.731,7.125237313432837,conventional
15.374,7.829370271739135,conventional
19.572,7.107592729827536,conventional
22.159,6.028953705841607,conventional
24.421,5.648285361777885,conventional
24.266999999999996,9.23876041103299,conventional
14.552,8.49827935314369,conventional
16.877000000000002,10.415454594304142,conventional
19.742999999999995,6.980601723248567,conventional
22.703999999999997,5.799639788997737,conventional
24.877999999999997,5.923657581832367,conventional
25.492,13.14055508602475,conventional
